,clause,class
20,"When you use our sites, apps and partner services, we collect different types of data, from your registration data, to the products you’re signed up to, the articles you’ve read, your device data and more. The types of data we collect about you depend on your use of our Products and Services and the ways that you interact with us. Check out this section to learn more about what data we collect about you.
",standard_trivial
21,"We collect data that you provide to us when you use our Products.
",standard_trivial
22,"We collect data from your communications, photos and attachments.
",standard_trivial
23,"We collect data about your activity when you interact with our Products and Services.
",standard_trivial
24,"We collect data about your devices when you use our Products and Services.
",worth_reading
25,"We obtain data from others.
",worth_reading
26,"How does Verizon Media use your data?
",worth_reading
27,"When you use our Products or interact with our Services we use your data for different purposes, including to provide you with personalised content and ads, to deliver our Products at your request and to keep our platforms safe and secure. Check out this section to learn more about how and why we process your data, and our legal bases to do so.
",standard_trivial
28,"We use your data for the following purposes:
",worth_reading
29,"    to provide the Products to you, and Services to our partners
",standard_trivial
30,"    to build interest profiles and personalise the ads and content that we show you
",standard_trivial
31,"    to understand how you use our Products, and to design and develop improvements to our Products and Services
",worth_reading
32,"    to develop insights across our business
",worth_reading
33,"    for security purposes, including to detect and defend against fraudulent, abusive or unlawful activity
",worth_reading
34,"    to comply with legal obligations and for the establishment, exercise or defence of legal claims
",worth_reading
35,"We rely on different legal bases to lawfully process your data. See below some examples of processing operations that we carry out in order to achieve our purposes and the primary legal bases on which we rely:
",worth_reading
36,"Purpose 	Examples of how we use your data to achieve the purpose 	Legal Bases
",worth_reading
37,"To provide the Products and Services to you 	
",worth_reading
38,"    Our systems process emails addressed to you to ensure that you get them in your inbox
",standard_trivial
39,"    We process your name, email address, physical address, credit card number, expiration date and security code when you subscribe to any of our paid Products
",standard_trivial
40,"    We store data about you, including emails, messages, posts, photos and attachments, to make them available at your request when you use our Products
",worth_reading
41,"    When you sign up to receive newsletters of our different Products, like HuffPost or ExtraCrunch, we use your email address to deliver them to you
",standard_trivial
42,"    We check your IP address and related location signals to understand where you are located and identify the legal jurisdiction and terms that apply to you, and provide the services relevant to your specific region
",standard_trivial
43,"        Learn more about how we use your IP address and location data in our Data Collection and Use Practices page
",standard_trivial
44,"    We review and try to address any technical issues with your account that you identify to us
",standard_trivial
45,"    When you ask us to remember your login data for our products, we use data stored in cookies when you return to those sites
",standard_trivial
46,"    We process your search queries to provide you with matching or relevant search results
",standard_trivial
47,"    To provide specific product features; for example, we analyse your incoming and outgoing emails, messages, posts, photos and attachments, to generate results when you search for a message in your mailbox or to identify travel-related emails for you, like flights and hotel bookings
",standard_trivial
48,"    We carry out promotions to increase engagement with our users. When you participate in a promotion you will be prompted to agree to the terms of the promotion before entry. 
",worth_reading
49,"	Contractual Necessity
",worth_reading
50,"To build interest profiles to personalise the ads and content we show to you
",standard_trivial
51,"    We collect certain data about you and your device across our Products and on our partners’ sites and apps that use our Services to personalise ads. 
",standard_trivial
52,"    We analyse your Yahoo and AOL Mail data, to better understand your interests, which enable us to personalise your ads   and to generate business insights.
",standard_trivial
53,"        You can adjust this setting in Your Privacy Controls  
",worth_reading
54,"        See the ‘Yahoo and AOL Mail’ section in Our Products page for more information.
",worth_reading
55,"        NOTE: if you have a BT | Yahoo Mail account or you IMAP-in your Gmail account, we do not analyse those communications for ad      personalisation purposes.
",standard_trivial
56,"    We use the data we’ve collected about you and your devices across our Products and Services to make inferences like what activities you’re into and we’ll show you ads related to those activities
",standard_trivial
57,"    We link identifiers that likely belong to the same user or are present in the same household  
",worth_reading
58,"    We obtain data from third-party providers and combine it with the data that we have about you
",standard_trivial
59,"See How Advertising Works for more information about how we use your data to provide personalised advertising and for more information about your choices and controls.
",standard_trivial
60,"Consent - when we rely on consent to process your data, you can withdraw your consent at any time by accessing Your Privacy Controls.
",standard_trivial
61,"    We serve and deliver content and advertising in our Products and Services. We also measure how effective the ads and content are
",standard_trivial
62,"    We collect certain data about you and your device across our Products to personalise your content.
",worth_reading
63,"    We work with our partners to technically serve and deliver their content and advertising in our Products. We also enable our partners to measure how effective their ads are.       
",standard_trivial
64,"    Legitimate Interest - we carry out these activities for our legitimate interests of:
",worth_reading
65,"    optimising the performance of our Products and Services,
",worth_reading
66,"    improving and developing innovative features
",worth_reading
67,"    We collect certain data about you and your device across our Products and on our partners’ sites and apps that use our Services. Personalisation is an essential feature of the Products. As a result, we use data collected about you to understand your interests and to show you content we believe best matches those interests.
",standard_trivial
68,"Contractual Necessity
",worth_reading
69,"To understand, maintain, develop and improve our Products and Services
",worth_reading
70,"    We use feedback from our users to understand what is working, and fix what is not
",worth_reading
71,"    We collect data about our users, including activity on ourProducts and Services, content data from their communications, and opinions collected through surveys to develop aggregate insights. Those insights help us:
",worth_reading
72,"        understand how our Products and Services are working
",worth_reading
73,"        create content and features for our Products and Services that are more relevant to our audience
",worth_reading
74,"    We contact our users with marketing messages and offers to promote our Products
",worth_reading
75,"See Data Collection and Use Practices for more information about how we use your data for product improvement and development.
",standard_trivial
76,"Legitimate Interest - we carry out these activities for our and our partners’ legitimate interests of:
",standard_trivial
77,"    optimising the performance of our Products and Services and
",worth_reading
78,"    improving and developing innovative features
",worth_reading
79,"To develop insights across our business for third parties
",standard_trivial
80,"    We create reports and provide data analysis tools for external parties, including publishers, advertisers, and the public, regarding:
",standard_trivial
81,"        industry trends and competitive analyses 
",worth_reading
82,"        audience insights
",worth_reading
83,"        ad performance and effectiveness
",worth_reading
84,"        publisher metrics including site traffic and analytics
",worth_reading
85,"See Data Collection and Use Practices for more information about how we use your data for analytics.
",standard_trivial
86,"Legitimate Interest - we carry out these activities for our and our partners’ legitimate interests of optimising our advertising and Services which keeps many of our Products free.
",standard_trivial
87,"For security purposes, including to detect and defend against fraudulent, abusive or unlawful activity
",worth_reading
88,"    We authenticate you in certain cases, such as when you forget your password or when you request access to your data
",standard_trivial
89,"    We analyse communications, application traffic, and related forensic data collected from our Products and Services
",worth_reading
90,"    We check your IP address and related location signals to protect your account and look for anomalous events which might undermine or threaten our Products and Services
",standard_trivial
91,"See Data Collection and Use Practices for more information about how we use your data for security purposes and to prevent and defend against fraudulent activity.
",standard_trivial
92,"Legitimate Interest - we carry out these activities for our and your legitimate interest of keeping our products safe and secure
",worth_reading
93,"    We access, preserve, and share data with government agencies and third parties to protect you and the general public, prevent infringement of our Terms or violations of third parties’ rights and to assist in the prevention, investigation, detection or prosecution of criminal offences, or other unlawful activity
",standard_trivial
94,"Depending on the circumstances, we rely on the following legal bases:
",worth_reading
95,"    to comply with legal obligations
",worth_reading
96,"    to protect vital interests 
",worth_reading
97,"    legitimate Interest - we carry out these activities for our and your legitimate interest of keeping our products safe and secure
",worth_reading
98,"When we rely on consent to process your data, you can withdraw your consent at any time. When we rely on legitimate interest, we offer you the choice to object unless there are overriding circumstances (for example, to protect the fundamental rights and freedoms of other individuals). You can withdraw your consent or object to the processing of your data by accessing Your Privacy Controls.
",standard_trivial
99,"How does Verizon Media share your data?
",worth_reading
100,"We work with partners to bring you a variety of features and ads, and to make our Products more interactive and secure. Check out this section to learn more about our partners and why we work with them. When we share your data in these cases, your data will be transferred outside of the EEA. See ‘How do we transfer your data to third countries?’ to learn more.
",standard_trivial
101,"We share data within Verizon Media Group
",worth_reading
102,"We share data with Verizon Communications
",worth_reading
103,"We share data with our vendors
",worth_reading
104,"We share data with our search partners
",worth_reading
105,"We share data with advertising technology partners
",worth_reading
106,"We share data with analytics partners
",worth_reading
107,"We share data with content partners
",worth_reading
108,"We share data with other third parties and government agencies
",standard_trivial
109,"We will share data as part of a change in ownership
",worth_reading
110,"How do you exercise your privacy rights over how Verizon Media uses your data?
",worth_reading
111,"You have rights over how we collect, use and share your data. We give you a range of controls and tools to manage these rights in Your Privacy Controls. Account holders can visit Account Info for additional tools. In some cases, we may refuse your request if it is excessive or repetitive. We may also deny your request when it may impact the rights of another data subject. Check out this section for more details.
",standard_trivial
112,"Responding to your privacy rights requests
",worth_reading
113,"Once we receive your request relating to your privacy rights we will:
",worth_reading
114,"    respond within 30 days; we will let you know of any delays
",worth_reading
115,"    reply electronically to your requests unless you ask us to respond in a different way
",worth_reading
116,"    deny your requests if they are excessive or repetitive
",worth_reading
117,"    limit the information that we provide to you if it impacts the rights of other people
",standard_trivial
118,"Your rights over your data
",worth_reading
119,"    Access and port your data
",worth_reading
120,"        View the data that we have about you.
",worth_reading
121,"        Download a copy of your data in a machine-readable format.
",standard_trivial
122,"Visit Your Privacy Controls to access and port your data.
",worth_reading
123,"    Object to or restrict the way in which your data is processed 
",worth_reading
124,"        Restrict the ways in which we use your data. For example, you can disable personalised ads and we will no longer use your data to show you personalised ads. 
",standard_trivial
125,"        Unless there are overriding circumstances, when we rely on legitimate interests to process your data (as described in the table above) you can object to the ways in which we use your data. 
",worth_reading
126,"Visit Your Privacy Controls to object to or restrict the way your data is processed.
",worth_reading
127,"    Delete your data
",worth_reading
128,"        You have the right to request that we delete your information. 
",standard_trivial
129,"        Unless there are overriding circumstances, you can delete your account and the data associated with it.
",standard_trivial
130,"Visit Your Privacy Controls to delete your data.
",worth_reading
131,"    Rectify your data
",worth_reading
132,"        Request that we rectify inaccurate information about you. For example, you can edit your account registration data. 
",standard_trivial
133,"Visit your Account info to rectify your data.
",worth_reading
134,"    Withdraw your consent
",worth_reading
135,"        Where we rely on consent, you can withdraw your consent at any time. 
",standard_trivial
136,"Visit Your Privacy Controls to withdraw your consent.
",standard_trivial
137,"    Make a complaint with the Irish Data Protection Commission, which is Verizon Media's lead supervisory authority. You can also complain to your local supervisory authority. Click here to find your local supervisory authority.
",standard_trivial
138,"If you are resident in the European Economic Area (“EEA”), you have the following additional rights:
",worth_reading
139,"    Manage advertising partners - manage the ways in which we share your data with some of our advertising partners by going to the ‘Partners’ tab in Your Privacy Controls.
",standard_trivial
140,"    Right to be forgotten - request the blocking of specific URLs from appearing in search results displayed when your name is queried on Yahoo Search. We will review the request and assess if the data contained in the URLs is inaccurate, inadequate, no longer relevant or excessive in relation to the purposes for which it was collected or processed. Our criteria reflect the standards for removal established by the Court of Justice of the European Union and other applicable regulatory guidance. You can use this form to submit your request.
",standard_trivial
141,"How does Verizon Media protect your data?
",worth_reading
142,"Verizon Media uses different processes and technologies to protect your data.  Check out this section for more information.  
",standard_trivial
143,"Protecting our systems and our users’ data is paramount to ensure you enjoy a secure experience when using our Products. We implement technical and organisational measures, such as two-step verification, encryption and ongoing security training for our employees. We continue to evaluate and implement enhancements in security technology and practices. 
",standard_trivial
144,"Visit the Data Collection and Use Practices page to learn more about how we protect our systems and your data.
",standard_trivial
145,"For how long does Verizon Media keep your data?
",worth_reading
146,"We generally store your data for as long as necessary to deliver our Products and Services and for security purposes. In some cases, we store your data for longer, for example when we need to comply with legal obligations. Check out this section for more information.
",standard_trivial
147,"Verizon Media generally stores your data for as long as is necessary for the purposes set out in this Privacy Policy.
",worth_reading
148,"For example, 
",worth_reading
149,"    we store your account Information and information you provide during the account registration process, including name, phone number, alternate email address, date of birth, and country for 18 months from the termination of the account
",standard_trivial
150,"    we store keywords and phrases entered into our Search Products to obtain search results for 18 months
",worth_reading
151,"    we store billing and subscription information, like invoices from your purchases, for 7 years, to comply with legal obligations 
",standard_trivial
152,"We keep data for longer than needed for the purposes set out in this Privacy Policy in limited cases:
",worth_reading
153,"    we replicate or back up certain data to “offline” storage for disaster recovery purposes
",worth_reading
154,"    we may truncate, redact or summarize raw data, log files and database records into statistical aggregate data or probabilistic data structures to understand long term trends.
",worth_reading
155,"    we maintain de-identified data for varying periods for research, reporting and product testing or development. In these cases, unique identifiers and linkages to existing data about you are broken or removed so that this data is no longer associated with you, your browser, or device
",standard_trivial
156,"    we keep and use certain data to comply with our legal obligations, resolve disputes or enforce our agreements. For example, we might keep data associated with an account subject to litigation or a request from law enforcement.
",worth_reading
157,"How do we transfer your data to third countries?
",standard_trivial
158,"In order to bring you the best and latest products and features, Verizon Media works with affiliates and other companies established in countries outside of the EEA, including the United States, Canada, Singapore and Taiwan.  Some of these countries may not have the same data protection safeguards as those in the EEA. Check out this section for more details.
",worth_reading
159,"When we transfer data to our Affiliates or other companies established in countries outside of the EEA, we do so through legal mechanisms and in accordance with the EU’s General Data Protection Regulation to ensure that your data is protected to the same standards.
",worth_reading
160,"When Verizon Media transfers your data outside the EEA including to the United States, Canada, Singapore and Taiwan, we rely on:
",standard_trivial
161,"    adequacy decisions adopted by the European Commission
",worth_reading
162,"    standard contractual clauses adopted by the European Commission
",worth_reading
163,"    Privacy Shield for companies based in the United States that have certified under the EU-US Privacy Shield Programme
",worth_reading
164,"Verizon Media less frequently relies on other conditions:
",worth_reading
165,"    where the transfer is necessary for the conclusion or performance of a contract concluded in the interest of the data subject between the controller and other natural or legal person
",worth_reading
166,"    where the transfer is necessary for the establishment, exercise or defence of legal claims
",worth_reading
167,"    where the transfer is necessary for important reasons of public interest
",worth_reading
168,"    where the transfer is necessary to protect the vital interests of an individual, and the individual is physically or legally incapable of giving consent
",worth_reading
169,"How do you learn about changes to this Privacy Policy?
",worth_reading
170,"We will make changes to this Privacy Policy from time to time. We will inform you in advance of any material changes.   
",worth_reading
171,"We will make changes to this Privacy Policy from time to time. The ‘Last updated’ date at the top of this Privacy Policy will let you know when we last made changes, and we will also provide you with the previous version of our Privacy Policy.   
",worth_reading
172,"Some of our changes will be minor, but if we make significant changes to how we present our Privacy Policy to you, or how we use or share your personal data from what we told you when we collected your data, we will:
",worth_reading
173,"    inform you in advance (for example, by providing prominent notice on our sites or sending emails to our registered users);
",standard_trivial
174,"    wait for a given period of time before implementing changes; and/or
",worth_reading
175,"    where required, request your consent.
",worth_reading
176,"Contact us with any questions or concerns about your privacy.
",worth_reading
177,"We’d like to hear from you. Check out this section to find out how you can contact us.
",worth_reading
178,"Please complete our Privacy Form for any questions you have about your privacy, or to raise a concern about your privacy rights with the controller of your data, Verizon Media EMEA Limited. You can also write to us at 5-7 Point Square, North Wall Quay, Dublin 1, Ireland.
",standard_trivial
179,"If you wish to contact our Data Protection Officer, you can do so by post to: Attn: Data Protection Officer, Verizon Media EMEA, 5-7 Point Square, North Wall Quay, Dublin 1, Ireland.
",worth_reading
